id 	 label 	 desc 	 aliases 	 type 	 cluster_labels
P149	architectural style	architectural style of a structure or architect		wikibase-item	Other Topics
P144	based on	the work(s) used as basis for subject	copie of, fork of, derived from, extended from	wikibase-item	Subject
P264	record label	brand and trademark associated with the marketing of subject music recordings and music videos	label	wikibase-item	Subject, Music, Associated
P143	imported from	source of this claim's value (use only in References section)		wikibase-item	Value, Source
P1349	ploidy	ploidy of a genome		wikibase-item	Other Topics
P1346	winner	winner of an event	won by	wikibase-item	Event
P1589	deepest point	point with lowest elevation in the country, region, city or area	lowest point	wikibase-item	Country, City, Area
P1347	military casualty classification	null		wikibase-item	Other Topics
P1344	participant of	event a person was a participant in, inverse of P710	took part, took part in, participant in	wikibase-item	Person, Event
P1465	category for people who died here	category item for people who died in this location		wikibase-item	Location, Category, Item is Located
P1221	compressor type	null		wikibase-item	Type
P1464	category for people born here	category item that groups people born in this place		wikibase-item	Place, Category
P1343	described by source	dictionary or encyclopaedia where this item is described		wikibase-item	Source
P1340	eye color	color of the irises of a person's eyes	eye colour	wikibase-item	Person
P1582	natural product of taxon	links a natural product with its source (animal, plant, fungal, algal, etc)		wikibase-item	Source
P1462	standards body	body or organisation responsible for publication and maintenance of standard	standards organisation, standards setting organization, standards setting organisation, standards developing organization, standards developing organisation	wikibase-item	Organization
P272	production company	company that produced this film, audio or performing arts work	film studio, studio, motion picture studio, movie studio, production house, theatre company, theater company, theatrical troupe, ballet company, broadcasting company	wikibase-item	Film
P150	contains administrative territorial entity	(list of) direct subdivisions of an administrative entity	contains, consists of, divides into, divided into, composed of, has towns, has shires, has cities, has rural cities, has municipalities, has wards, has local government areas, has districts, has boroughs, has administrative division, comprises, subdivided into, has counties	wikibase-item	Entity, Administrative, City, Directly, Area
P137	operator	organization that operates the service, facility, ship, aircraft, missile	service operator, facility operator, operated by, managed by, user, administrator	wikibase-item	Organization, Administrative
P136	genre	genre of a creative work or genre in which an artist works	music genre, film genre	wikibase-item	Creative Work, Music, Film
P138	named after	entity or event that inspired the subject's name, or namesake (in at least one language)	eponym, named for, namesake, etymology	wikibase-item	Subject, Entity, Event, Language
P375	space launch vehicle	rocket or other vehicle for launching subject payload into space	carrier rocket, launch vehicle	wikibase-item	Subject
P495	country of origin	country of origin of the creative work or subject item	place of origin	wikibase-item	Subject, Place, Country, Creative Work, Subject Item, Origin
P135	movement	literary, artistic or philosophical movement associated with this person or work	school, architectural style	wikibase-item	Person, Associated
P376	located on astronomical body	astronomical body on which features or places are situated		wikibase-item	Location, Place
P134	has dialect	dialects of this language (a single language may be linked to many dialects)	dialect, has as dialect, includes dialect	wikibase-item	Language
P1456	list of monuments	link to the list of heritage monuments in the place/area		wikibase-item	Place, Area
P1336	territory claimed by	administrative divisions that claim control of a given area		wikibase-item	Administrative, Given, Area
P1454	legal form	legal form of an organization	business entity	wikibase-item	Organization, Entity
P1455	list of works	link to the article with the works of a person	bibliography	wikibase-item	Person
P1576	lifestyle	typical way of life of an individual, group, or culture		wikibase-item	Other Topics
P1210	supercharger	supercharger or turbocharger used by an engine		wikibase-item	Other Topics
