source property 	 item with same label 	  label 	 description
P10	Q34508	video	electronic medium for the recording, copying and broadcasting of moving visual images
P10	Q367036	Video	Wikipedia disambiguation page
P10	Q644325	Video	album by Pakito
P10	Q7927797	Video	single by India.Arie
P10	Q7927798	Video	album by 2 Plus 1

P1002	Q2576663	engine configuration	arrangement of cylinders within a reciprocating engine

P1026	Q187685	doctoral thesis	document submitted in support of candidature for an doctoral degree

P1033	Q15350855	GHS signal word	null

P1036	Q48460	Dewey Decimal Classification	library classification system

P1038	Q1176086	Relative	Wikipedia disambiguation page

P1040	Q7042855	film editor	someone who edits motion pictures

P1053	Q7315186	ResearcherID	unique identifier/ authority control for researchers

P1057	Q1502477	Chromosome	set of parameters for a genetic algorithm
P1057	Q37748	chromosome	organized structure of DNA and protein found in cells

P1059	Q407521	CVR	Wikipedia disambiguation page

P106	Q13516667	occupation	any activity of a person (hobby, work, pastime, professional sport...)
P106	Q15703263	Occupation	third season premiere and 34th episode of the re-imagined American science fiction drama television series Battlestar Galactica
P106	Q528892	occupation	form of protest
P106	Q7075755	Occupation	TV serial
P106	Q829171	Occupation	Wikimedia disambiguation page

P1064	Q214519	track gauge	spacing of the rails on a railway track

P1067	Q15477767	Thailand central administrative unit code	numerical codes for provinces, districts, subdistrict,and municipalities in Thailand

P1068	Q272683	instruction set	null

P1075	Q16881936	Rector	null
P1075	Q212071	rector	academic official
P1075	Q348951	Rector	Wikipedia disambiguation page
P1075	Q6415017	rector	ecclesiastical profession
P1075	Q7303205	Rector	null
P1075	Q79382	Rector	null

P108	Q3053337	employer	a person or company that employs workers

P1081	Q38994	Human Development Index	composite statistic of life expectancy, education, and income indices

P1082	Q13211406	population	null
P1082	Q15304703	Population	Demography journal
P1082	Q175385	population	Wikipedia disambiguation page
P1082	Q1854361	population	null
P1082	Q2625603	population	biology
P1082	Q33829	population	human population that live together in the same place
P1082	Q7229772	Population	album by The Most Serene Republic

P1083	Q986365	seating capacity	null

P1086	Q23809	atomic number	number of protons found in the nucleus of an atom

P109	Q17019141	Signature	brand of Indian whisky
P109	Q188675	signature	handwritten mark made as a proof of identity and intent
P109	Q298582	Signature	Wikimedia disambiguation page
P109	Q3483643	Signature	English dance duo
P109	Q3960359	Signature	2009 album by R&B singer Joe
P109	Q741810	Signature	null
P109	Q7512804	Signature	1997 album by Patrice Rushen
P109	Q7512806	Signature	British charity
P109	Q7512808	Signature	2006 album by Moya Brennan
P109	Q7512811	Signature	null

P1090	Q1040590	Redshift	Wikipedia disambiguation page
P1090	Q2136387	Redshift	British band
P1090	Q3918336	RedShift	planetarium software created by Maris Multimedia
P1090	Q7306255	Redshift	application that adjusts the computer display's color temperature
P1090	Q7306256	Redshift	null

P1093	Q2719498	gross tonnage	null

P1096	Q208474	orbital eccentricity	null

P1097	Q1951266	G-factor	null

P110	Q644687	illustrator	narrative artist who makes images for printed products

P1102	Q212750	Flattening	null

P1107	Q47694	Proportion	null

P1108	Q78974	Electronegativity	null

P1109	Q174102	Refractive index	optical characteristic of a material

P1114	Q309314	quantity	the number of subjects that are referred to
P1114	Q614112	quantity	physical quantity or calculated value

P1117	Q340893	PKA	Wikipedia disambiguation page
P1117	Q7119497	PKA	null

P112	Q19435686	founder	null
P112	Q3075344	Founder	null
P112	Q5474587	Founder	Wikipedia disambiguation page

P1122	Q3879445	spin quantum number	null

P1123	Q141160	parity	flip in the sign of one spatial coordinate
P1123	Q182627	Parity	Wikipedia disambiguation page
P1123	Q230967	parity	property of being an odd or even number
P1123	Q25661	parity	number of times a female has given birth to a baby
P1123	Q7137524	Parity	null
P1123	Q7137525	Parity	null
P1123	Q7137526	Parity	null

P1124	Q441697	TEU	Wikipedia disambiguation page

P1125	Q162455	Gini coefficient	measure of inequality in the income distribution

P113	Q4811588	airline hub	airport that an airline uses as a transfer point to get passengers to their intended destination

P1138	Q3362041	Kunstindeks Danmark	null

P114	Q465909	airline alliance	null

P1142	Q14934048	political ideology	ideology that advocates social, political and economic organization of human life

P1145	Q190463	Lagrangian point	null

P1148	Q970319	neutron number	null

P1149	Q621080	Library of Congress Classification	null

P1150	Q2137453	Regensburg Classification	library classification system

P1159	Q1023962	CODEN	six character, alphanumeric bibliographic code
P1159	Q3250753	Coden	null

P1163	Q1667978	Internet media type	identifier for file formats on the Internet

P117	Q500256	chemical structure	spatial arrangement of atoms in a molecule and the chemical bonds

P1171	Q621751	approximation algorithm	null

P118	Q225433	League	Wikipedia disambiguation page
P118	Q288653	league	People's Republic of China prefecture-level subdivision used in Inner Mongolia
P118	Q660818	league	null

P1184	Q1575058	Handle	null
P1184	Q200266	handle	null
P1184	Q911146	Handle	Wikipedia disambiguation page

P1189	Q5100524	Chinese Library Classification	national library classification scheme in China

P119	Q18857007	location of burial	null

P1190	Q243350	Universal Decimal Classification	null

P1191	Q5453504	First Performance	null

P1193	Q719602	prevalence	proportion of a population found to have a condition

P1199	Q15729061	mode of inheritance	the manner in which a particular genetic trait or disorder is passed from one generation to the next

P1201	Q1958838	space tug	spacecraft vehicle designed to move the payload from a reference orbit to the target orbit, or direct it to an interplanetary trajectory
P1201	Q7572535	Space Tug	null

