propId, label, description, count,type
P1659,see also,used to indicate a property that might provide additional information about the subject,155,wikibase-property
P1687,Wikidata property,main Wikidata property for this item,127,wikibase-property
P1647,subproperty of,all resources related by this property are also related that property.,52,wikibase-property
P1696,inverse of,links a property to its inverse property,52,wikibase-property
P1646,mandatory qualifier,qualifier(s) that must be associated to statements using this property,45,wikibase-property
P1013,criterion used,usually used as a qualifier,6,wikibase-item
P101,field of work,"fields of work related to this item (physics, history). For occupation like physicist, historian see P106. Note: Can be used in any item besides person",8877,wikibase-item
P1060,pathogen transmission process,process by which a pathogen is transmitted,5,wikibase-item
P105,taxon rank,level in a taxonomic hierarchy,1923141,wikibase-item
P106,occupation,occupation of a person; see also field of work,1913712,wikibase-item
P102,member of political party,the political party of which this politician is or has been a member,182969,wikibase-item
P1057,chromosome,chromosome on which an entity is localized,50600,wikibase-item
P1080,from fictional universe,subject's fictional entity is in the object narrative. See also P1441 and P1445,8142,wikibase-item
P103,native language,language that a person learned natively,4288,wikibase-item
P1001,applies to jurisdiction,"the item (an institution, law, ...) belongs to or applies to the value (a jurisdiction: a country, state, municipality, ...)",4192,wikibase-item
P1050,medical condition,disease or other health problem affecting an individual human or other animal,3846,wikibase-item
P1066,student of,person who has taught this person,2004,wikibase-item
P110,illustrator,illustrator of a book,1977,wikibase-item
P1038,relative,"family member (qualify with type of kinship""P1039; for direct family member please use specific property)""P1039; for direct family member please use specific property)""",1626,wikibase-item
P1071,location of final assembly,place where the item was made; location of final assembly,1085,wikibase-item
P1037,manager/director,person who manages any kind of group,766,wikibase-item
P1049,deity of,religion or group/civilization that worships a given deity,356,wikibase-item
P1002,engine configuration,configuration of an engine's cylinders,347,wikibase-item
P1074,fictional analog of,used to link a class of items appearing in a creative work with the analogous class of objects in the real world,234,wikibase-item
P1018,language regulatory body,regulatory body of a language,98,wikibase-item
P1068,instruction set,instruction set on which the processor architecture is based,46,wikibase-item
P1073,writable file format,file format a program can create and/or write to,42,wikibase-item
P1046,discovery method,way an exoplanet was discovered,28,wikibase-item
P1026,doctoral thesis,thesis that someone wrote to obtain a PhD degree,23,wikibase-item
P1033,GHS signal word,"please use with items warning"" (Q15350847) and ""danger"" (Q15221217)""",14,wikibase-item
