propId , label , description , aliases ,  type , count
P10,video,relevant video,media,commonsMedia,264
P109,signature,image of a person's signature,autograph,commonsMedia,3475
P117,chemical structure,representation of the structure for a chemical compound,crystallographic structure,commonsMedia,4224
P14,highway marker,graphic representing the highway,"motorway sign, shield, highway shield, road marker",commonsMedia,3930
P1442,grave picture,"picture of a person or animal's grave, gravestone or tomb","grave image, grave photo",commonsMedia,2633
P15,road map,map of the road,"route map, street map, road atlas, highway map",commonsMedia,3265
P154,logo image,"graphic mark or emblem commonly used by commercial enterprises, organizations and products",,commonsMedia,5279
P1543,monogram,image of a person's monogram,,commonsMedia,3
P158,seal image,image of subject's seal (emblem),emblem,commonsMedia,4174
P1621,detail map,a map containing details about the entire location,,commonsMedia,38
P1766,place name sign,image of road sign with place name on it,,commonsMedia,125
P18,image,"relevant illustration of the subject; if available, use more specific properties (sample: coat of arms image, locator map, flag image, signature image, logo image)","portrait, illustration, picture, drawing",commonsMedia,795805
P1801,commemorative plaque image,"image of plaque or inscription commemorating or mentioning the subject. For graves, use grave picture (P1442)",,commonsMedia,198
P181,range map image,range map of a taxon,"distribution map, spread map",commonsMedia,6074
P207,bathymetry image,"file with bathymetric chart, bathymetric map","bathymetric chart, bathymetric map, file bathymetry",commonsMedia,6
P242,locator map image,geographic map image which highlights the location of the subject,"map, locator map",commonsMedia,41541
P367,astronomic symbol image,image of the symbol that identify a planet or an asteroid of the solar system,,commonsMedia,30
P41,flag image,picture of the item's flag,"image flag, image of flag",commonsMedia,22146
P443,pronunciation audio,audio media file on Wikimedia Commons with pronunciation,,commonsMedia,467
P491,orbit diagram,image with the diagram of the orbit of an astronomic body,,commonsMedia,8
P51,audio,relevant sound,"song, recording, audio file, audio recording, sound recording",commonsMedia,592
P692,Gene Atlas Image,image showing the GeneAtlas expression pattern,,commonsMedia,1
P94,coat of arms image,image of the item's coat of arms,"symbol, heraldic representation, heraldic emblem, arms",commonsMedia,51120
P948,Wikivoyage banner,banner for the related Wikivoyage page,,commonsMedia,8588
P989,spoken text audio,audio file for the spoken work or Wikipedia article,,commonsMedia,330
P990,recording of the subject's spoken voice,audio file representing the speaking voice of a person; or of an  animated cartoon or other fictitious character,voice recording,commonsMedia,349
P996,scan file (Commons),file related to the content of the source/book/report on Wikimedia Commons,,commonsMedia,270
P1259,coordinates of the point of view,"point from which the scene depicted by the element is seen (element can be a photo, a painting, etc.)",,globe-coordinate,16
P1332,coordinate of northernmost point,northernmost point of a location. For an administrative entity this includes offshore islands,"most northerly, extreme point, farthest north",globe-coordinate,110
P1333,coordinate of southernmost point,southernmost point of a place. For administrative entities this includes offshore islands,"southerly, most south, farthest south, extreme point",globe-coordinate,109
P1334,coordinate of easternmost point,easternmost point of a location,"easterly, most eastern, farthest east, extreme point",globe-coordinate,108
P1335,coordinate of westernmost point,westernmost point of a location,"westerly point, extreme west, most western, extreme point",globe-coordinate,109
P625,coordinate location,geocoordinates of the subject,"coordinates, co-ordinate location, co-ordinates, coords, co-ords, location, geographic coordinate, gps coordinate, gps co-ordinate, gps coordinates, gps co-ordinates, gps location, geotag, wgs 84, wgs-84, wgs84, position, longitude, latitude, gps, coordinate location, geographical coordinates",globe-coordinate,2139981
P626,Sandbox-GeoCoordinateValue,"Sandbox property for value of type ""GeoCoordinateValue""",Sandbox-Coordinates,globe-coordinate,1
P1448,official name,official name of the subject in its official language(s),name,monolingualtext,1548
P1449,nickname,the nickname of an entity,,monolingualtext,433
P1451,motto text,short motivation sentence associated to item (e.g. at the bottom of its coat of arms),,monolingualtext,1214
P1476,title,the title of a work,original title,monolingualtext,15473
P1477,birth name,"full name of a person at birth, if different from their current, generally used name (samples: John Peter Doe for Joe Doe, Ann Smith for Ann Miller)","maiden name, born as, bn, bname, birth name (monolingual text), née",monolingualtext,1364
P1549,demonym,"the demonym for people or things associated with a given place. In English, this should start with a Capital letter. Singular masculine adjective form is preferred. Add a qualifier if another form is added.",,monolingualtext,360
P1559,name in native language,name of a person in their native language,,monolingualtext,388
P1635,religious name,name taken or used as a member of a religious community,,monolingualtext,47
P1638,working title,temporary name of a product or project used during its development,production title,monolingualtext,10
P1680,subtitle,"for works, when the title is followed by a subtitle",,monolingualtext,1227
P1683,quote,"quote supporting the statement claim (to be used in the ""sources"" field)",,monolingualtext,6
P1684,inscription,"inscriptions, markings and signatures on an object",,monolingualtext,84
P1705,native label,label for the items in their official language (Q23492) or their original language (P364),,monolingualtext,7924
P1813,short name,"the short name of a place, organisation, person etc.",,monolingualtext,3585
P1011,excluding,usually used as a qualifier,,null,0
P1016,asteroid taxonomy,type of asteroid classification,,null,0
P1032,Digital Rights Management system,technologies  to control the use of digital content and devices after sale,,null,0
P1039,type of kinship,"qualifier of ""relative (P1038)"" to indicate unusual family relationships (ancestor, son-in-law, adoptions, etc). Avoid using for relationships that can be derived from the family tree or have an explicit property (spouse, child, etc)",kinship,null,0
P1097,g-factor,characteristic property of any elementary particle (Landé factor),,null,0
P1106,sandbox-quantity,property to be used for testing the quantity datatype,,null,0
