Reference Item 	 Label 
Q10000	Dutch Wikipedia	761999
Q1000596	Noémi Ferenczy	2
Q10011	Jiajing Emperor	1
Q1001691	null	1
Q1001864	Buenos Aires Herald	2
Q1001933	Helena	1
Q1005391	Federal Constitutional Law	6
Q1005454	Bundesamt für Kartographie und Geodäsie	1
Q1005480	Federal Agency for Nature Conservation	1
Q1005565	Bundesanzeiger	41
Q10077315	Category:1930s in Scotland	1
Q1007902	Gamasutra	1
Q10083	Veere	3
Q1011	Cape Verde	2
Q101352	family name	576
Q101549	Erich Vermehren	1
Q101701	Tanja Gönner	1
Q101804	Norbert Kamp	1
Q101826	Christian Carpzov	1
Q10184	Frankfurter Allgemeine Zeitung	1
Q1022	Stuttgart	2
Q1024493	USS Hancock	1
Q102527	Robert Falcon Scott	1
Q1025341	Cadw	93
Q10264030	Daniela Beyruti	1
Q10271791	Elfwine	1
Q10285304	Francisco de Almeida Portugal	1
Q102865	Darius III	1
Q10287	Manuel Valls	1
Q10291472	younger brother	2
Q102916	Anne Kasprik	2
Q1029271	USS Greeneville	1
Q1029467	Kevin Clash	1
Q10296409	null	1
Q10307334	Joaquim Nabuco	2
Q10310067	José Martiniano Pereira de Alencar	1
Q103107	Leto	2
Q10314332	Kiko Freitas	1
Q103157	Kurt Russell	2
Q1032053	HMS Liverpool	1
Q1032068	HMS Newcastle	1
Q1032312	null	1
Q10324968	great-grandparent	6
Q10330114	Milton Dacosta	1
Q103343	Jennifer Connelly	1
Q1033764	null	1
Q10337964	null	1
Q10338085	null	1
Q1033905	Yongsan Line	1
Q10346160	Patrícia Abravanel	1
Q1035	Charles Darwin	1
Q10357883	Rebeca Abravanel	1
Q1036437	Empress Xiaochengren	1
Q1036479	Taksi	1
Q1036789	Qian Chu	2
Q10379763	null	2
Q10379771	adam mišík	1
Q103876	Peter O'Toole	1
Q10390	John McCain	2
Q1039198	Xiao Tong	1
Q1039216	Xiahou Xuan	1
Q1039542	USS Essex	1
Q10404995	Alexander Löfström	1
Q104146	Deborah Kerr	1
Q1041800	USS Mahan	1
Q10423715	Axel von Fersen	1
Q104326	Jean Michel Jarre	1
Q104397	Friedrich Liebau	1
Q1044328	Le Nouvel Observateur	4
Q1044457	Lady Caroline Blackwood	1
Q104472	Beate Ulbricht	1
Q104586	Alexandra Bujdoso	1
Q1046629	French submarine Casabianca	1
Q1047	Jawaharlal Nehru	1
Q1047321	USS Barracuda	1
Q1047829	Bosnian Wikipedia	7
Q1047851	Neapolitan Wikipedia	8
Q10484606	null	1
Q10484679	null	1
Q1048694	Russian State Library	33
Q1049657	The Scotsman	3
Q10497442	null	2
Q10497456	Census in Sweden	1
Q10506983	Goidanichiella	1
Q1050941	Desta Damtew	1
Q1051047	Catherine Storr	1
Q105105	Theoderic the Great	1
Q1051163	L'Unità	1
Q10513079	HMS Aldebaran	1
Q10513085	HMS Altair	2
Q10513099	HMS Arholma	2
Q10513102	HMS Arholma	1
Q10513104	HMS Arkö	2
Q10513121	HMS Blackan	1
Q10513127	HMS Blixt	1
Q10513131	HMS Bredskär	2
Q10513142	HMS Capella	1
Q10513157	HMS Delfinen	1
Q10513162	HMS Djärv	1
Q10513217	HMS Gästrikland	1
Q10513218	HMS Gävle	1
Q10513219	HMS Gävle	1
Q10513227	HMS Hajen	1
Q10513229	HMS Halmstad	1
Q10513230	HMS Halland	1
Q10513231	HMS Hanö	2
Q10513243	HMS Hugin	1
Q10513249	HMS Hälsingborg	1
Q10513251	HMS Hälsingland	2
Q10513290	HMS Koster	2
Q10514	Fernando Alonso	1
Q10515018	HMS Malmö	1
Q10515023	HMS Mjölner	1
Q10515026	HMS Mode	1
Q10515037	HMS Najad	1
Q10515042	HMS Niord	1
Q10515051	HMS Norrköping	1
Q10515103	HMS Sjöbjörnen	2
Q10515104	HMS Sjöbjörnen	1
Q10515138	HMS Springaren	1
Q10515141	HMS Sprängaren	2
Q10515144	HMS Spårö	1
Q10515148	HMS Starkodder	1
Q10515163	HMS Styrbjörn	1
Q10515173	HMS Svea	1
Q10515187	HMS Södermanland	1
Q10515190	HMS Tapperheten	1
Q10515215	HMS Uppland	1
Q10515272	HMS Wrangel	2
Q10515274	HMS Ystad	1
Q105190	levee	1
Q105221	Dan Aykroyd	1
Q1052713	Internet Adult Film Database	8
Q1052831	Celebrity Millennium	1
Q105290	Praxiteles	1
Q1054184	Khmer Republic	1
Q105584	Rotten Tomatoes	10
Q1055996	null	2
Q105660	Holly Hunter	1
Q10566854	null	1
Q10566913	null	1
Q1056889	Deseret News	3
Q1056951	Department of Canadian Heritage	1
Q10570023	null	1
Q1057349	Kintetsu Kyoto Line	1
Q1057754	Mal Hatun	1
Q1058198	null	2
Q1060034	null	1
Q1060064	Yarim-Lim II	1
Q1060636	Daniel Handler	1
Q1061861	Structurae	52
Q1062522	Rhodri ab Owain Gwynedd	1
Q1062925	Italian cruiser Luigi Cadorna	1
Q1063344	Saint Kenelm	1
Q1063449	Charles d'Abancour	2
Q1064090	Charles Delaunay	2
Q106453	Princess Frederica Caroline of Saxe-Coburg-Saalfeld	2
Q1064787	Goldie O'Gilt	1
Q1064947	Charles II de Cossé, Duke of Brissac	1
Q1065	United Nations	9
Q1065337	Italian cruiser Emanuele Filiberto Duca d'Aosta	1
Q1066338	Charles Vyner Brooke	1
Q1066342	Charles W. Engelhard, Jr.	1
Q1067140	Barcelona Museum of Contemporary Art	153
Q106743	Fernando Rey	1
Q1067802	Paris Charter	3
Q10678152	null	1
Q1067878	Urdu Wikipedia	13
Q1068072	University of Delaware	1
Q10684881	Svensk mediedatabas	1
Q10685023	Swedish lighthouse society	21
Q10685961	null	4
Q10686079	Swedish death index	2
Q106919	Silvana Mangano	1
Q10693	periodic table	117
Q10695442	The Cactus Family	1
Q10695694	The New Cactus Lexicon	1482
Q107006	Claudia Cardinale	1
Q1071027	personal name	112417
Q10710498	Urho	1
Q1071182	Japanese battleship Katori	1
Q10713433	Vattenmyndigheterna	5
Q10716064	Visby Franciscan chronicles	1
Q1071691	Leicester Tigers	1
Q1071696	Bohuslav Reynek	1
Q1071769	Baden Powell	1
Q1071946	Podalirius	1
Q10726338	CiNii	18
Q10728976	null	1
Q10729287	null	1
Q107293	pitchfork	1
Q10729351	Matsudaira Yasutoshi	1
Q10729352	Matsudaira Yasumoto	1
Q10730820	Nils Borring	1
Q10737	suicide	1
Q1073939	Malaysian Armed Forces	1
Q107424	Akiko Yano	1
Q10769293	null	2
Q10770761	null	1
Q10775423	null	1
Q107785	Amalthea	2
Q10787590	null	3
Q10815474	null	1
Q10821089	Admete	2
Q108216	Karl-Heinz Gerstner	1
Q10821802	André Houška	1
Q10823323	null	1
Q10825976	null	1
Q10826130	null	1
Q10826150	null	2
Q10826953	Anna Moravská	3
Q1083637	null	1
Q10839059	null	2
Q1084121	St Kilda Football Club	1
Q10843402	swimmer	1
Q1085	Prague	1
Q10853455	null	2
Q10853781	null	1
Q10854338	Apolena Veldová	1
Q10854476	USS Chevalier	1
Q10855990	Nashimoto Itsuko	1
Q10856577	Toku-hime	2
Q10856921	null	1
Q10857290	null	1
Q10857411	null	1
Q10857450	null	1
Q10857451	null	1
Q10859501	Stung Treng	1
Q10859957	Ogasawara Nagamune	1
Q10861347	null	1
Q10861349	null	1
Q10861350	null	1
Q10861561	null	1
Q10862096	Hōjō Ujihisa	1
Q10862505	Japanese submarine I-203	1
Q10862511	Japanese submarine I-361	1
Q10862513	Japanese submarine I-363	1
Q10862664	Japanese submarine I-373	1
Q10862679	Japanese submarine I-400	1
Q10862685	Japanese submarine I-153	1
Q10874588	Chinese Culture Association	1
Q10877222	null	1
Q10877398	null	1
Q10877789	null	1
Q10877827	null	1
Q10878348	null	1
Q10878912	null	1
Q1088018	USS Phoenix	1
Q10881164	Yun Zi	1
Q10884877	Japanese submarine I-178	1
Q10884882	Japanese submarine I-157	1
Q10884887	Japanese submarine I-18	1
Q10884888	Japanese submarine I-162	1
Q10884889	Japanese submarine I-165	1
Q10884893	Japanese submarine I-3	1
Q10884897	Japanese submarine I-53	1
Q10884898	Japanese submarine I-5	2
Q10884899	Japanese submarine I-6	2
Q10884900	Japanese Submarine I-40	1
Q10884901	Japanese submarine I-47	1
Q1088523	Physics Today	4
Q10888383	null	1
Q10893476	Memoir of a Tour to Northern Mexico: connected with Col. Doniphan's Expedition	2
Q1089410	Chulabhorn Walailak	1
Q10897198	Liu Can	1
Q10897224	Liu Xi	1
Q10897285	Liu Nu	1
Q10897459	Liu Qing	1
Q10897591	Liu Yi	1
Q10897594	Liu Zheng	1
Q10897834	Liu Sheng	1
Q1089788	Church in Wales	2
Q10899384	Liu Boji	2
Q10899474	Liu Sheng	1
Q10899966	Liu Lin	1
Q10900070	Liu Shu	1
Q10900206	Liu Fa	1
Q10900218	Liu Zhi	1
Q10900312	Liu Su	1
Q10900326	Liu Zhen	1
Q10900393	Liu Heng	1
Q10900520	Liu Hong	1
Q10900590	Liu Huang	1
Q109010	Solna Municipality	30
Q10903793	Prince Nagahisa Kitashirakawa	1
Q10905008	null	1
Q10905971	null	1
Q109067	Viktor Dyk	1
Q10908057	null	1
Q10909645	null	5
Q10910298	null	1
Q1091124	Nysa	1
Q1091200	Diego Buñuel	2
Q10912356	Florida Today	1
Q1091368	Joan, Lady of Wales	1
Q10916201	null	4
Q10920284	null	1
Q10921567	null	1
Q109220	Boreas	2
Q10922610	null	1
Q10923139	null	1
Q109232	Rosanna Arquette	1
Q10923930	null	1
Q10931686	Jukei-ni	1
Q1093355	Koshikibu no naishi	2
Q10935499	null	2
Q10941115	null	1
Q10941116	Princess Taihe	1
Q10943337	null	1
Q10944224	null	2
Q10944375	null	1
Q10944833	null	1
Q10946020	Line 1	4
Q10946021	Line 2, Ningbo Rail Transit	2
Q10946661	null	1
Q10946662	null	1
Q10949351	Princess Baoan	1
Q10949884	null	1
Q1096870	Index.hu	1
Q1097232	Inside Mac Games	1
Q10976963	Ignacio Achurra	1
Q1099104	Ian Scott	1
Q1100362	null	2
Q1100946	Ann Romney	1
Q1101158	Cliff Osmond	1
Q1101443	National Women's Soccer League	2
Q11020833	Nenad Šarić	1
Q1102155	Clodia	1
Q110347	Johann Konrad von Gemmingen	1
Q1104	Hemer	1
Q1104155	null	1
Q11050638	null	1
Q11052724	null	1
Q11059	Sanskrit	1
Q11060114	null	8
Q11060429	null	1
Q11063	astronomer	1
Q11064033	null	1
Q11064905	null	1
Q11066515	Zhang Yan	1
Q11068027	null	1
Q11068048	Zhang Renjun	1
Q11068419	null	1
Q11068856	null	1
Q11068907	null	1
Q11069807	Matsudaira Tadaatsu	1
Q1106993	Demetrius III of Georgia	1
Q11070012	Nanamagari-dono	2
Q11070067	Hōjō Ujishige	2
Q11070274	Ōta Sukemasa	1
Q11070388	null	1
Q11070396	null	1
Q11072501	null	1
Q11072851	Yelü Lihu	1
Q11073155	null	1
Q11073245	null	1
Q11073521	null	1
Q11079704	null	1
Q1108098	Razadarit	1
Q11081098	Eva Vrchlická	1
Q11081577	Xinhuanet	2
Q11084432	Liu Yuan	1
Q1108576	Urwah ibn Mas'ud	1
Q1108581	Wahb ibn 'Abd Manaf	1
Q110874	patronymic	89632
Q11087518	null	1
Q11089406	null	1
Q11089595	null	1
Q11089661	null	1
Q11089712	null	1
Q11089714	null	1
Q1109101	College of Arms	1
Q11094082	null	1
Q11094085	null	1
Q11094087	null	1
Q11094088	null	1
Q11094089	null	1
Q11094097	null	1
Q11094099	null	1
Q11094102	null	1
Q11094106	null	1
Q11094489	Zhu Zhanji	1
Q11094491	null	1
Q11094492	null	1
Q11094494	Zhu Zhankai	1
Q11094496	null	1
Q11094574	null	2
Q11094737	null	1
Q11094739	null	1
Q11094740	null	1
Q11094749	null	1
Q11094751	null	1
Q11094759	null	1
Q11094761	null	1
Q11094778	Zhu Yikuang	1
Q11096051	Li Zongen	1
Q11097672	null	1
Q11097677	null	1
Q11097694	null	1
Q11097695	null	1
Q11097696	null	1
Q11097704	null	1
Q11097705	null	1
Q11097721	null	1
Q11097726	null	1
Q11097728	null	1
Q11097743	null	1
Q11097749	null	1
Q11097762	null	1
Q11097772	null	1
Q11097787	null	1
Q11097788	null	1
Q11097789	null	1
Q11097798	null	1
Q11097799	null	1
Q11097800	null	1
Q111016	Friedrich Franz von Braunschweig-Wolfenbüttel	1
Q1110872	Halimah bint Abi Dhuayb	1
Q111115	Aleida Assmann	1
Q11111831	null	1
Q111130	Henry Draper Catalogue	2
Q11113742	null	1
Q11119775	null	1
Q11122	treaties of the European Union	4
Q11129730	null	1
Q11131001	null	1
Q11131379	null	1
Q11132311	Berenika Saudková	1
Q11132428	null	1
Q11132870	null	1
Q11136437	null	1
Q1114071	Klubrádió	2
Q11142452	Kōno Michinobu	1
Q1114560	Stjepan Svetoslavić	1
Q11146	Maastricht Treaty	1
Q11148	The Guardian	72
Q11149	The Independent	8
Q11151506	Chinese Hai Lung submarine	1
Q11152626	null	1
Q11157062	German submarine U-493	1
Q1115924	USNS Narragansett	1
Q1116305	Commons	1
Q1116577	Saw Zein	1
Q11171375	null	1
Q11173023	null	1
Q11176038	null	1
Q1117730	Italian cruiser Andrea Doria	1
Q1117909	Michal Nehoda	1
Q11180139	null	1
Q111854	Historic Scotland	115356
Q11191	The World Factbook	4
Q1119537	Phaethusa	2
Q112005	Georg Ritter von Schönerer	1
Q112096	Georg von Habsburg	1
Q112185	Walter Berry	1
Q1121941	Kunigunde of Brandenburg, Duchess of Slavonia	2
Q11220	United States Navy	31
Q11220389	null	2
Q11224780	null	1
Q1122544	DrugBank	7
Q1122760	Empire	1
Q1122802	HMS Liverpool	1
Q11237	Nelson Rockefeller	1
Q11239108	Matsudaira Nagachika	1
Q1124375	Concrete	1
Q11248500	User experience design	1
Q11249271	Mila Rechcigl	1
Q1124989	Lajos Kósa	1
Q1125602	SMS Körös	1
Q1125649	Impresa	1
Q11256588	Ashikaga Haruuji	1
Q11259419	JS Isoshio Japanese submarine	1
Q1125966	Hungarian Central Statistical Office	6362
Q1126005	Italian submarine Alagi	1
Q11266398	null	1
Q1126715	Tyro	3
Q11268	United States Congress	2
Q112720	Adhur Hordmizd	1
Q1127368	Japanese battleship Musashi	1
Q1127847	Gerðr	1
Q11284208	USS Annapolis	1
Q1128537	Dizionario Biografico degli Italiani	276
Q11288203	USS Will Rogers	1
Q112943	Zarmihr Karen	1
Q1129569	USS Cleveland	1
Q11297584	Griechische Vasenmalerei: Auswahl hervorragender Vasenbilder	1
Q11316	Federazione Italiana di Atletica Leggera	3
Q11316178	USS Tattnall	1
Q1131641	Nalan Xingde	1
Q1132161	USS Edward McDonnell	1
Q11323769	USS Nathanael Greene	1
Q1132636	Serbian Academy of Sciences and Arts	3
Q11327594	Bakuman	1
Q11329	Garrigàs	1
Q1132977	Walloon Wikipedia	2
Q113325	Andreas von Schoeler	1
Q1133330	Cornelia Gerstenmaier	1
Q1133733	National Library of Latvia	1
Q1133848	USS Preston	1
Q113397	Ottokar III of Styria	1
Q11341880	null	1
Q1134208	The Irish Times	3
Q113422	Diane de France	1
Q1134335	USS Preston	1
Q11343413	USS Meyerkord	1
Q11344192	Spanish frigate Méndez Núñez	1
Q1134605	Telchines	4
Q11348852	USS Lewis B. Puller	1
Q1135120	Terra Networks	1
Q11356540	null	1
Q1136377	Costa Serena	1
Q1136409	USS Nassau	1
Q1136529	USS Dace	1
Q1136594	Linda	1
Q11369398	Kyūshō-in	1
Q1137404	L'Humanité	219
Q11374452	Kyōgoku Takamitsu	1
Q1137581	The London Gazette	12
Q11376923	Imagawa Ujitoyo	1
Q11379188	Japanese submarine I-171	1
Q11379192	Japanese submarine I-152	1
Q11379203	Japanese submarine I-23	2
Q1138094	Japanese battleship Tosa	1
Q113840	Franziska Donner	1
Q1138422	Mitsuko Baishō	1
Q11385502	Kaneko Yorihitoshinnōhi	1
Q1138565	Gongyang Zhuan	2
Q1139587	Swedish Film Database	4
Q11398608	null	2
Q1140115	Government of the Russian Federation	1
Q1140161	Marina Mniszech	1
Q11402094	Keirin-in	1
Q11402114	Hōjō Tokiko	1
Q11402127	Hōjō Tokinao	1
Q11402157	Hōjō Ujitaka	1
Q11402168	Hōjō Ujitaka	1
Q11402171	Hōjō Yasuie	1
Q11402208	Hōjō Akitoki	1
Q1140361	Panchito Pistoles	1
Q1140593	Newsday	1
Q1141209	Italian submarine Comandante Cappellini	1
Q11412639	null	2
Q1141355	USS Hornet	1
Q1141369	USS Forrestal	1
Q1141916	El Sol	2
Q11424	film	1
Q11425661	null	1
Q11427767	Hyarmendacil II	1
Q11429	nuclear fission	1
Q1143046	Odeon	1
Q11432119	Ōi no kata	1
Q1143330	Niall Frossach	1
Q11439	home page	1
Q1143992	Gil Blas	11
Q1144830	Westmalle Brewery	1
Q11449764	null	1
Q1145206	USS New Hampshire	1
Q1145236	Encyclopaedia of Islam	8
Q11455120	Attic bilingual vases and their painters	2
Q11457490	Kansei Chōshū Shokafu	1
Q1146193	Johannes Schepp	1
Q11462053	Yōko Kozakura	1
Q11464739	null	1
Q1146576	Martha Mosse	1
Q11466475	null	1
Q1146950	USS Vella Gulf	1
Q1147071	Aragonese Wikipedia	3
Q11474135	null	1
Q1147417	Simonetta Stefanelli	1
Q11477425	Reishō-in	1
Q1147759	Maariv	1
Q11480206	null	1
Q11482341	Notes on the Duenos-Vase Inscription in Berlin	1
Q1148240	Yoruba Wikipedia	1
Q11487892	null	1
Q11487910	Hikoimasu	3
Q11487911	Prince Hikofutsuoshinomakoto	1
Q11492327	null	1
Q11496708	null	1
Q11497661	Prince Oshisaka-no Ōe	1
Q1150348	Biographical Directory of the United States Congress	1
Q11506304	Institute of Energy Economics Japan	1
Q115131	null	2
